key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
13200,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-56297,Lovren,Dejan,6,defender,DF
13201,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-64353,Majer,Lovro,7,midfielder,MF
13202,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-07670,Kovačić,Mateo,8,midfielder,MF
13203,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-65182,Kramarić,Andrej,9,forward,FW
13204,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-29491,Modrić,Luka,10,midfielder,MF
13205,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-79215,Brozović,Marcelo,11,midfielder,MF
13206,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-32870,Grbić,Ivo,12,goal keeper,GK
13207,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-22160,Vlašić,Nikola,13,midfielder,MF
13208,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-31643,Livaja,Marko,14,forward,FW
13209,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-89948,Pašalić,Mario,15,midfielder,MF
13210,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-46461,Petković,Bruno,16,forward,FW
13211,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-99461,Budimir,Ante,17,forward,FW
13212,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-26942,Oršić,Mislav,18,forward,FW
13213,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-84190,Sosa,Borna,19,defender,DF
13214,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-58420,Gvardiol,Joško,20,defender,DF
13215,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-91294,Vida,Domagoj,21,defender,DF
13216,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-16484,Juranović,Josip,22,defender,DF
13217,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-94815,Ivušić,Ivica,23,goal keeper,GK
13218,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-57417,Šutalo,Josip,24,defender,DF
13219,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-67668,Sučić,Luka,25,midfielder,MF
13220,WC-2022,2022 FIFA Men's World Cup,T-18,Croatia,HRV,P-86466,Jakić,Kristijan,26,midfielder,MF
13221,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-58755,Schmeichel,Kasper,1,goal keeper,GK
13222,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-43705,Andersen,Joachim,2,defender,DF
13223,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-49454,Nelsson,Victor,3,defender,DF
13224,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-14988,Kjær,Simon,4,defender,DF
13225,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-39995,Mæhle,Joakim,5,defender,DF
13226,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-18923,Christensen,Andreas,6,defender,DF
13227,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-26593,Jensen,Mathias,7,midfielder,MF
13228,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-57615,Delaney,Thomas,8,midfielder,MF
13229,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-85579,Braithwaite,Martin,9,forward,FW
13230,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-50104,Eriksen,Christian,10,midfielder,MF
13231,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-82313,Olsen,Andreas Skov,11,midfielder,MF
13232,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-72592,Dolberg,Kasper,12,forward,FW
13233,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-82877,Kristensen,Rasmus,13,defender,DF
13234,WC-2022,2022 FIFA Men's World Cup,T-22,Denmark,DNK,P-57782,Damsgaard,Mikkel,14,midfielder,MF
