group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group C,Argentina,Lautaro Martínez,lautaro martinez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lautaro Mart├¡nez
Group C,Argentina,Leandro Paredes,leandro paredes,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Leandro Paredes
Group C,Argentina,Lionel Messi,lionel messi,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lionel Messi (captain)
Group C,Argentina,Lisandro Martínez,lisandro martinez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Lisandro Mart├¡nez
Group C,Argentina,Marcos Acuña,marcos acuna,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Marcos Acu├▒a
Group C,Argentina,Nahuel Molina,nahuel molina,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nahuel Molina
Group C,Argentina,Nicolás Otamendi,nicolas otamendi,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nicol├ís Otamendi
Group C,Argentina,Nicolás Tagliafico,nicolas tagliafico,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Nicol├ís Tagliafico
Group C,Argentina,Papu Gómez,papu gomez,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Papu G├│mez
Group C,Argentina,Paulo Dybala,paulo dybala,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Paulo Dybala
Group C,Argentina,Rodrigo De Paul,rodrigo de paul,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Rodrigo De Paul
Group C,Argentina,Thiago Almada,thiago almada,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_Thiago Almada
Group C,Argentina,Ángel Correa,angel correa,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_├üngel Correa
Group C,Argentina,Ángel Di María,angel di maria,argentina,50,data\raw\player-images\Images\Images\Group C\Argentina Players\Images_├üngel Di Mar├¡a
Group C,Mexico,Alexis Vega,alexis vega,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Alexis Vega
Group C,Mexico,Alfredo Talavera,alfredo talavera,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Alfredo Talavera
Group C,Mexico,Andrés Guardado,andres guardado,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Andr├⌐s Guardado (captain)
Group C,Mexico,Carlos Rodríguez,carlos rodriguez,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Carlos Rodr├¡guez
Group C,Mexico,César Montes,cesar montes,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_C├⌐sar Montes
Group C,Mexico,Edson Álvarez,edson alvarez,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Edson ├ülvarez
Group C,Mexico,Gerardo Arteaga,gerardo arteaga,mexico,50,data\raw\player-images\Images\Images\Group C\Mexico Players\Images_Gerardo Arteaga
