player_id,full_name,team,folder,ok
P-32870,Ivo Grbić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Ivo Grbi─ç,True
P-22160,Nikola Vlašić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Nikola Vla┼íi─ç,True
P-31643,Marko Livaja,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Marko Livaja,True
P-89948,Mario Pašalić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Mario Pa┼íali─ç,True
P-46461,Bruno Petković,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Bruno Petkovi─ç,True
P-99461,Ante Budimir,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Ante Budimir,True
P-26942,Mislav Oršić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Mislav Or┼íi─ç,True
P-84190,Borna Sosa,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Borna Sosa,True
P-58420,Joško Gvardiol,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Jo┼íko Gvardiol,True
P-91294,Domagoj Vida,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Domagoj Vida,True
P-16484,Josip Juranović,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Josip Juranovi─ç,True
P-94815,Ivica Ivušić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Ivica Ivu┼íi─ç,True
P-57417,Josip Šutalo,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Josip ┼áutalo,True
P-67668,Luka Sučić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Luka Su─ìi─ç,True
P-86466,Kristijan Jakić,Croatia,data/raw/player-images/Images/Images/Group F/Croatia Players/Images_Kristijan Jaki─ç,True
P-58755,Kasper Schmeichel,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Kasper Schmeichel,True
P-43705,Joachim Andersen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Joachim Andersen,True
P-49454,Victor Nelsson,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Victor Nelsson,True
P-14988,Simon Kjær,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Simon Kj├ªr (captain),True
P-39995,Joakim Mæhle,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Joakim M├ªhle,True
P-18923,Andreas Christensen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Andreas Christensen,True
P-26593,Mathias Jensen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Mathias Jensen,True
P-57615,Thomas Delaney,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Thomas Delaney,True
P-85579,Martin Braithwaite,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Martin Braithwaite,True
P-50104,Christian Eriksen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Christian Eriksen,True
P-82313,Andreas Skov Olsen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Andreas Skov Olsen,True
P-72592,Kasper Dolberg,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Kasper Dolberg,True
P-82877,Rasmus Kristensen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Rasmus Kristensen,True
P-57782,Mikkel Damsgaard,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Mikkel Damsgaard,True
P-56182,Christian Nørgaard,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Christian N├╕rgaard,True
P-07304,Oliver Christensen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Oliver Christensen,True
P-11588,Jens Stryger Larsen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Jens Stryger Larsen,True
P-93781,Daniel Wass,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Daniel Wass,True
P-59609,Jonas Wind,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Jonas Wind,True
P-08442,Yussuf Poulsen,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Yussuf Poulsen,True
P-29053,Andreas Cornelius,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Andreas Cornelius,True
P-35930,Frederik Rønnow,Denmark,data/raw/player-images/Images/Images/Group D/Denmark Players/Images_Frederik R├╕nnow,True
